user_id,age,gender,subscription_type,tenure_months,weekly_viewing_hours,content_diversity,price_increase,technical_issues,customer_service_calls,account_sharing,competing_services,last_login_days,binge_watching,user_rating,recommended_content_watched,signup_date,region,device_type,churn_probability
29,61,M,Premium,14,11.837408327371522,3,0,0,0,1,2,16,0,4.313998848577077,0.12225293987344765,2022-09-02 18:28:14.279677,Latin America,Tablet,0.4154563689038526
30,42,M,Premium,35,8.43235156913801,2,1,0,0,0,1,23,0,4.922231763637173,0.8742970770749625,2022-09-03 18:28:14.279677,Asia,TV,0.4784996172590419
31,66,M,Basic,44,14.609007509886261,3,0,1,0,1,3,3,0,2.2970303480654524,0.0596395846287715,2022-09-04 18:28:14.279677,Latin America,TV,0.42981177973986084
32,44,M,Premium,41,12.413439436046064,8,1,0,0,0,0,25,1,1.9430127200191336,0.3177305466176398,2022-09-05 18:28:14.279677,North America,Computer,0.4498072917775956
33,59,M,Basic,7,12.100472452259206,6,0,2,0,0,3,23,0,2.3234675881829125,0.991151645148187,2022-09-06 18:28:14.279677,Oceania,Computer,0.53996259726489
34,45,M,Premium,41,13.034252966078355,7,0,0,1,1,2,25,0,4.818599183954941,0.4223278791029953,2022-09-07 18:28:14.279677,Oceania,Tablet,0.33182406881454707
35,33,M,Basic,13,20.282717824147706,6,0,2,0,1,2,13,0,2.3322931842117662,0.13115622396525872,2022-09-08 18:28:14.279677,Latin America,Computer,0.5171356513739683
36,32,F,Premium,18,4.345557823370422,6,1,1,1,0,3,26,1,3.2608472798289525,0.9692946620490801,2022-09-09 18:28:14.279677,Oceania,TV,0.5337700627970832
37,64,M,Premium,37,12.368160384057273,3,1,1,0,0,0,19,0,2.614717130346057,0.9841396470417361,2022-09-10 18:28:14.279677,Asia,TV,0.47123854474906796
38,68,F,Premium,13,5.368094350092308,8,0,0,0,1,0,3,0,2.5848805779271236,0.18704268523871437,2022-09-11 18:28:14.279677,Oceania,Mobile,0.36283311309838484
39,61,M,Standard,36,12.777563231711241,7,0,0,0,0,4,27,0,1.7735144395162208,0.8648038087401708,2022-09-12 18:28:14.279677,Latin America,Tablet,0.43230582288067315
40,69,Other,Basic,31,5.4065674425695285,7,0,1,2,0,1,13,1,3.14831816319036,0.39042332619389175,2022-09-13 18:28:14.279677,Asia,Computer,0.3366040974461211
41,20,M,Basic,2,7.913165931974579,6,1,0,0,1,4,25,0,4.397617019868827,0.38136846448671446,2022-09-14 18:28:14.279677,Asia,Computer,0.6435338568952909
42,54,M,Standard,16,8.524550428810468,5,0,0,0,0,0,3,1,1.1979400542154832,0.26269763189690165,2022-09-15 18:28:14.279677,Oceania,Computer,0.3534762640822719
43,68,Other,Basic,9,14.879083596723545,8,1,1,0,0,3,5,0,4.556906374653686,0.04471027455489651,2022-09-16 18:28:14.279677,Latin America,Tablet,0.5660110487285915
44,24,F,Standard,9,14.592272219712068,5,1,1,1,0,1,29,0,3.661891860549198,0.2680089836852235,2022-09-17 18:28:14.279677,Oceania,TV,0.5556057405939021
45,38,F,Basic,38,3.771413117768078,9,0,1,0,0,3,8,0,3.4669523222996115,0.053776905333052016,2022-09-18 18:28:14.279677,North America,Computer,0.40952452014705726
46,26,M,Premium,11,10.274670554999243,9,1,0,0,1,4,20,0,3.503600931695969,0.9243720463599634,2022-09-19 18:28:14.279677,North America,Computer,0.5693981331761792
47,56,M,Standard,54,6.452100726254137,1,0,0,0,0,2,11,0,2.1850793438178777,0.6617206723927285,2022-09-20 18:28:14.279677,Asia,TV,0.38002246376578347
48,35,F,Premium,56,3.7074754466233273,6,0,1,0,1,3,28,0,2.660578015473151,0.8866226500163915,2022-09-21 18:28:14.279677,Oceania,Computer,0.38070902296313747
49,21,F,Basic,22,8.914914747878148,7,0,2,1,0,4,25,1,4.197160023616858,0.7172906814705706,2022-09-22 18:28:14.279677,North America,Mobile,0.47941005500599704
50,42,F,Premium,33,8.457586057720901,3,0,1,1,0,4,29,0,2.2255241477451584,0.13128687108263926,2022-09-23 18:28:14.279677,Europe,TV,0.5004385728040945
51,31,F,Premium,36,22.13358243172761,7,1,1,0,0,4,7,0,2.880080838290787,0.9405815367352979,2022-09-24 18:28:14.279677,North America,TV,0.509102141533964
52,67,M,Standard,45,12.16479912680348,7,0,1,0,1,2,23,1,1.0785290855506133,0.8998930536327671,2022-09-25 18:28:14.279677,Oceania,TV,0.33496231021088524
53,26,F,Standard,23,3.111912496228814,2,0,1,0,1,2,3,0,3.9342334117420266,0.3480760779010357,2022-09-26 18:28:14.279677,Oceania,Mobile,0.40164008383003097
54,43,M,Standard,45,7.176129979145289,7,0,0,0,0,2,26,1,2.6708087067144226,0.1115333403516765,2022-09-27 18:28:14.279677,North America,TV,0.3567977560326943
55,19,M,Basic,45,15.106916477146992,1,0,0,1,0,1,25,1,3.101435073894415,0.7041547507888738,2022-09-28 18:28:14.279677,Oceania,Tablet,0.3322640137426598
56,37,M,Standard,34,20.442213864349625,5,0,1,0,0,2,24,0,1.4587572712430346,0.7283613027367225,2022-09-29 18:28:14.279677,Oceania,Tablet,0.3911414093286516
57,45,F,Basic,9,2.070083438810208,9,0,1,0,1,2,24,1,4.966856915149748,0.8968290448407071,2022-09-30 18:28:14.279677,Europe,Tablet,0.34696695686306367
58,64,M,Basic,24,0.6003780743047749,7,0,0,0,0,2,4,0,2.209871307939384,0.05265575945107992,2022-10-01 18:28:14.279677,Asia,TV,0.4456833154343346
59,24,M,Basic,8,19.35482587685891,7,1,1,0,1,3,5,0,3.5399586463858013,0.14170383802737185,2022-10-02 18:28:14.279677,Oceania,TV,0.5802155072267214
60,61,F,Basic,7,11.94807088685452,2,1,2,1,0,2,4,0,3.3249453794178616,0.5982487928791823,2022-10-03 18:28:14.279677,Latin America,TV,0.6617401300415937
61,25,M,Basic,36,5.658536340618168,8,0,0,0,0,1,18,0,4.140368815699961,0.6191315508700825,2022-10-04 18:28:14.279677,Asia,Mobile,0.33763325917554604
62,64,F,Basic,18,12.673145430612177,3,1,0,0,0,4,26,0,2.175347822487842,0.03360966231500628,2022-10-05 18:28:14.279677,Asia,Tablet,0.6886091267161256
63,52,M,Premium,3,0.0,8,0,0,0,0,3,7,0,4.023709379988949,0.3969320510616584,2022-10-06 18:28:14.279677,Latin America,Computer,0.4316792098471382
64,31,F,Standard,28,10.016877532985806,3,0,1,0,1,0,8,0,2.5300069227429374,0.5841617312760491,2022-10-07 18:28:14.279677,North America,Computer,0.34691992467727195
65,34,F,Premium,6,11.639105864215427,7,0,0,0,1,2,14,0,2.6446438633853964,0.7379113331517339,2022-10-08 18:28:14.279677,Europe,TV,0.40493334434627454
66,53,M,Standard,44,14.621350697689149,2,0,0,0,0,4,3,0,3.6908501059470806,0.31615069177832855,2022-10-09 18:28:14.279677,Oceania,Mobile,0.40008514284914454
67,67,M,Basic,44,4.930520238537311,4,0,0,0,0,4,24,0,4.137143086961875,0.48390349302184144,2022-10-10 18:28:14.279677,North America,TV,0.44015330408497677
68,57,M,Standard,21,10.428435807016795,6,1,0,0,0,3,8,0,3.6674665444822363,0.8140548723120092,2022-10-11 18:28:14.279677,Latin America,Computer,0.5305196253092926
69,21,M,Standard,28,5.372876869702063,9,0,2,0,1,0,6,0,4.599518082284608,0.9538950638977405,2022-10-12 18:28:14.279677,Europe,Tablet,0.33747389332477856
70,19,Other,Basic,40,11.276918778371586,5,1,1,1,0,1,7,0,2.1406361180402693,0.2303146753898455,2022-10-13 18:28:14.279677,Europe,Computer,0.5314510396462926
71,23,M,Standard,54,5.52326838818488,9,0,1,0,0,4,14,0,4.6024669284077975,0.2530422058198962,2022-10-14 18:28:14.279677,Europe,Tablet,0.36025201436447946
72,59,F,Basic,54,7.959495804198896,5,1,0,0,0,4,18,1,1.5234541037735148,0.9398181874338755,2022-10-15 18:28:14.279677,Latin America,Tablet,0.5423353026587238
73,21,M,Standard,1,5.020923026048854,8,0,0,0,0,4,14,1,3.6381212761199224,0.3959111507626836,2022-10-16 18:28:14.279677,North America,Mobile,0.427733504220703
74,46,F,Standard,36,13.255681209118286,1,0,0,2,0,4,4,0,3.19052260552071,0.7183483245207427,2022-10-17 18:28:14.279677,Oceania,Computer,0.41347505495959785
75,35,F,Basic,21,14.292255583283326,7,0,1,0,0,3,18,1,2.978543761662358,0.6122652287298762,2022-10-18 18:28:14.279677,Europe,TV,0.38494563787797814
76,43,F,Basic,43,8.82689715021293,4,0,1,0,0,0,6,0,2.243648115448713,0.2855876797940563,2022-10-19 18:28:14.279677,Europe,Mobile,0.356098621305659
77,61,M,Standard,35,10.191189974800142,5,0,0,0,1,4,5,0,3.014930981232937,0.6535622219580249,2022-10-20 18:28:14.279677,North America,Tablet,0.4054504131373635
78,51,M,Standard,13,2.7570429268322796,6,1,1,0,0,1,26,1,1.647093425538813,0.6555659009569733,2022-10-21 18:28:14.279677,Europe,Computer,0.5432419410639009
79,27,M,Basic,57,8.501616759966065,5,0,0,3,0,1,18,0,2.4772837768467024,0.5924431854090763,2022-10-22 18:28:14.279677,Europe,TV,0.3495432173869657
80,53,F,Premium,49,9.748976914791276,1,1,0,0,1,2,24,1,1.3947236699355097,0.09966082484951289,2022-10-23 18:28:14.279677,Latin America,Mobile,0.5542435791482793
81,31,F,Basic,54,23.103965455149876,9,0,1,0,0,4,27,0,3.2873863991452783,0.9951718223740377,2022-10-24 18:28:14.279677,Asia,TV,0.3528571785595214
82,48,Other,Standard,54,4.440164871129182,2,1,0,0,1,4,16,0,1.3830715447985078,0.4004164611708274,2022-10-25 18:28:14.279677,North America,Computer,0.6142945591603729
83,65,M,Premium,10,17.32088619376219,9,0,2,0,0,4,9,0,1.6413785756206627,0.6382509853969889,2022-10-26 18:28:14.279677,North America,TV,0.5228085830206891
84,32,F,Basic,53,14.98429386732904,2,0,1,0,0,4,18,0,1.3418672059499253,0.8857616941126193,2022-10-27 18:28:14.279677,North America,Mobile,0.4442869358216648
85,25,F,Basic,44,11.403182022450682,9,1,1,1,0,4,10,0,2.5252425598083117,0.42328848841983635,2022-10-28 18:28:14.279677,Latin America,TV,0.5624767412903214
86,31,M,Basic,47,18.793102420975668,6,0,0,3,0,1,14,0,4.367833817673394,0.7739250568055486,2022-10-29 18:28:14.279677,Latin America,Computer,0.2870275326309701
87,40,M,Basic,53,11.860527363034315,9,0,2,1,1,0,9,1,4.627585566535311,0.971824424679406,2022-10-30 18:28:14.279677,Oceania,Mobile,0.26565982223306445
88,57,F,Basic,10,11.945795978339644,6,0,0,0,0,0,10,0,1.2875578184000536,0.35893476025304827,2022-10-31 18:28:14.279677,Latin America,Tablet,0.4140295612817149
89,38,F,Standard,46,9.734396734912274,6,0,0,2,0,2,22,0,3.538200563446508,0.4052695702327367,2022-11-01 18:28:14.279677,North America,Mobile,0.3582656215115132
90,33,F,Basic,13,16.117844412093138,2,0,0,0,0,1,2,0,3.7375416983682936,0.9055760589965687,2022-11-02 18:28:14.279677,Oceania,Computer,0.3619251504490956
91,62,M,Standard,37,15.482346169054418,8,1,0,0,0,4,29,1,3.1350797697280965,0.159642867815183,2022-11-03 18:28:14.279677,Asia,TV,0.5401134736384747
92,35,F,Premium,38,6.871613562518938,3,0,0,0,0,0,2,0,3.6679394458781838,0.02859483835944232,2022-11-04 18:28:14.279677,Europe,Tablet,0.33299205156323575
93,64,M,Premium,24,3.4037640270061633,7,0,0,1,0,3,17,0,1.934762861772381,0.9088890048491118,2022-11-05 18:28:14.279677,Europe,Tablet,0.4263384787537988
94,41,M,Standard,2,8.985096813021714,5,0,0,0,0,3,24,1,2.9585768472760643,0.8215915741175803,2022-11-06 18:28:14.279677,Oceania,TV,0.41773107167493734
95,43,M,Basic,22,5.999807178011768,3,0,0,0,1,3,10,0,2.563503396143314,0.972583032551332,2022-11-07 18:28:14.279677,Asia,Computer,0.4427202137125913
96,42,F,Standard,17,9.682377126923225,1,0,1,0,0,4,19,0,1.3588318057585242,0.058237782710678254,2022-11-08 18:28:14.279677,Europe,Mobile,0.543356244304973
97,62,F,Standard,36,16.187190673420695,8,1,2,0,1,4,25,1,3.502225758889956,0.15617733044098725,2022-11-09 18:28:14.279677,Oceania,Computer,0.6074865226675957
98,58,F,Standard,14,7.71349172456605,3,0,2,1,1,2,28,1,2.980860770686185,0.10531255908980885,2022-11-10 18:28:14.279677,Latin America,Tablet,0.5083568398493205
99,46,M,Basic,10,9.785883093442125,2,1,1,0,0,2,21,0,2.1006961076103328,0.6834161322937092,2022-11-11 18:28:14.279677,North America,Mobile,0.625576838379557
100,32,F,Premium,35,10.290113674041976,1,0,0,0,1,2,17,0,2.8947410416134858,0.6060100737471432,2022-11-12 18:28:14.279677,Asia,Mobile,0.4011768290846701
101,62,M,Standard,25,14.242154411026423,4,0,0,0,1,3,24,1,4.101192073590012,0.35933519938725966,2022-11-13 18:28:14.279677,Europe,TV,0.3751441373558315
102,18,F,Basic,3,0.0,8,0,2,1,0,4,14,0,4.206631051232256,0.057423479402245015,2022-11-14 18:28:14.279677,North America,Computer,0.5799962050052425
103,42,M,Basic,47,6.966498526173517,3,0,0,1,1,3,6,1,3.5981045149974764,0.639661984046541,2022-11-15 18:28:14.279677,Oceania,Mobile,0.34935990868347166
104,24,M,Standard,38,11.056418461397364,1,0,1,0,0,2,9,0,2.870991333600655,0.5701204851150566,2022-11-16 18:28:14.279677,Europe,TV,0.3854851216732488
105,26,M,Premium,17,16.000394782134308,4,0,1,0,0,4,20,0,3.302998556815392,0.11290321106061574,2022-11-17 18:28:14.279677,North America,Computer,0.47253217398448805
106,41,M,Standard,12,7.540487762468974,9,1,1,0,1,1,22,0,2.5400614854224686,0.9089097044737141,2022-11-18 18:28:14.279677,Latin America,Tablet,0.5211008809714984
107,18,F,Standard,54,0.6172364697906296,1,0,1,1,0,0,29,1,1.506225371976953,0.19894970967199055,2022-11-19 18:28:14.279677,Asia,Tablet,0.3641221055658516
108,61,F,Basic,52,13.098557229830682,2,1,1,0,0,0,19,1,2.5424823895443676,0.7435091521438564,2022-11-20 18:28:14.279677,Oceania,Computer,0.4442539706184489
109,25,M,Standard,24,6.823188055871853,9,0,0,0,0,2,28,1,3.121331024278537,0.8850758625429482,2022-11-21 18:28:14.279677,Europe,Mobile,0.33567321027553815
110,41,F,Standard,29,4.051666704548193,2,1,1,0,1,3,9,1,3.3953360586023362,0.5794749906937084,2022-11-22 18:28:14.279677,Latin America,Mobile,0.5325400054079809
111,28,M,Basic,43,6.8782730514338795,3,1,0,1,1,1,12,0,4.7432039042184835,0.24684890529825132,2022-11-23 18:28:14.279677,Asia,Tablet,0.5015131210240404
112,68,F,Basic,25,9.077373211720753,7,0,0,0,0,4,14,0,4.109333780122465,0.3092485176251414,2022-11-24 18:28:14.279677,Asia,Tablet,0.44052948542618553
113,34,F,Standard,36,6.976276677308936,3,1,1,1,1,3,22,1,1.6079702457787093,0.8857475337188323,2022-11-25 18:28:14.279677,Latin America,Mobile,0.5480292364724377
114,25,F,Basic,58,0.0,9,0,0,0,0,2,17,1,1.6967288266117122,0.29825715637648464,2022-11-26 18:28:14.279677,Europe,Computer,0.35477161326798917
115,52,M,Standard,26,14.485330984435661,6,1,0,0,0,3,22,1,1.4019790369590162,0.7461904833173043,2022-11-27 18:28:14.279677,Asia,Tablet,0.5427754712213213
116,52,F,Basic,38,16.374375206393612,3,0,1,0,1,2,3,1,3.952726908883671,0.9901652122554053,2022-11-28 18:28:14.279677,Oceania,Mobile,0.29164083174915
117,50,F,Basic,1,13.257609956697529,9,0,0,0,1,0,19,0,3.824489113967428,0.9998167193626778,2022-11-29 18:28:14.279677,North America,Computer,0.338480352315313
118,22,M,Basic,20,4.311571647875917,1,1,0,0,0,0,16,0,4.9454516067875245,0.5334797482693314,2022-11-30 18:28:14.279677,Oceania,TV,0.5193176466788406
119,59,M,Premium,55,8.99254233026241,3,0,1,0,0,3,27,1,3.0880936706573947,0.8265557967860978,2022-12-01 18:28:14.279677,Asia,Computer,0.3428300139917843
120,56,F,Premium,28,9.967393423852709,1,0,0,1,1,1,2,0,4.305659715395528,0.9902498679211995,2022-12-02 18:28:14.279677,North America,Mobile,0.3196300016388001
121,58,F,Premium,16,12.993971947809552,2,1,0,0,1,4,20,0,3.3057594345711503,0.3746728898419822,2022-12-03 18:28:14.279677,Latin America,Computer,0.6290679848256207
122,45,F,Standard,47,13.341702443590403,8,0,1,0,1,2,20,1,4.496346850109749,0.25240958507030586,2022-12-04 18:28:14.279677,North America,Mobile,0.2830072740952042
123,24,F,Basic,17,6.329131006107521,7,0,2,1,0,4,1,0,3.884084157211006,0.11423335584218319,2022-12-05 18:28:14.279677,North America,Tablet,0.5350436251466938
124,26,F,Standard,40,10.409977782067802,2,0,1,0,1,0,3,1,3.5715360599650117,0.1408996380731261,2022-12-06 18:28:14.279677,North America,TV,0.2863233889519554
125,25,M,Standard,28,12.286402023076207,2,0,0,0,1,1,0,0,3.2604906839322014,0.8535563636206633,2022-12-07 18:28:14.279677,Asia,Tablet,0.3338728974275037
126,29,M,Premium,58,17.279111610733832,9,1,0,0,0,1,14,1,3.8918820977718993,0.588723090307074,2022-12-08 18:28:14.279677,Europe,Tablet,0.362501313641074
127,51,M,Basic,12,13.522532699123616,6,0,0,1,1,4,24,1,2.678615370684042,0.8737091753924858,2022-12-09 18:28:14.279677,Asia,Mobile,0.43398288270416185
128,50,F,Standard,27,13.945283436877595,5,0,1,0,1,0,0,0,1.3863063228226564,0.7894550890321684,2022-12-10 18:28:14.279677,Europe,Mobile,0.32991055221818333
129,65,M,Basic,54,10.419133139646805,6,0,1,0,1,4,5,0,1.1599445151913632,0.6737446300480178,2022-12-11 18:28:14.279677,Latin America,Mobile,0.4234184690573354
130,40,F,Basic,53,17.05229572601752,9,1,0,0,1,3,6,0,2.9160949264366955,0.6093121919068607,2022-12-12 18:28:14.279677,Latin America,Mobile,0.4883459956619833
131,41,F,Standard,42,12.048813979797487,7,0,1,1,1,1,18,0,3.3971663288805654,0.048338904178092945,2022-12-13 18:28:14.279677,Latin America,Tablet,0.3442563859681748
132,54,F,Standard,59,5.6945604491321475,9,0,1,0,1,1,11,0,1.3153961222825017,0.8722751960031923,2022-12-14 18:28:14.279677,Latin America,Mobile,0.3070701492368785
133,52,M,Basic,47,17.016849850625952,4,1,0,0,0,3,0,0,2.147614195648409,0.41784206167971427,2022-12-15 18:28:14.279677,Latin America,Mobile,0.5447885799684609
134,61,F,Basic,30,13.489516362695138,2,0,1,0,1,0,6,0,2.2881288239019484,0.559786857071392,2022-12-16 18:28:14.279677,Oceania,Tablet,0.36584047651442975
135,57,M,Standard,41,7.784779894357588,8,0,0,0,1,1,18,0,3.251182140833005,0.02195350187702072,2022-12-17 18:28:14.279677,Asia,TV,0.35269007468172603
136,39,F,Standard,34,7.602535163003783,4,0,2,0,1,2,12,0,2.1139298241711564,0.936073501862787,2022-12-18 18:28:14.279677,Europe,TV,0.46218884857362036
137,44,M,Premium,37,11.482877725703808,9,0,1,0,0,2,25,1,1.3825943982240267,0.9027404610920015,2022-12-19 18:28:14.279677,Latin America,Computer,0.3342929525771309
138,52,M,Premium,6,12.315923976337924,4,0,0,1,0,0,11,0,1.6594269637862005,0.5432780299181056,2022-12-20 18:28:14.279677,Oceania,Tablet,0.3967299969899805
139,18,F,Standard,7,10.986461328156032,8,0,0,0,0,3,11,1,1.6957912064167728,0.5773116331683574,2022-12-21 18:28:14.279677,Oceania,Mobile,0.40629329060455377
140,52,M,Basic,32,11.556543367214424,9,1,1,1,1,4,21,1,4.370779776891046,0.7050172124034887,2022-12-22 18:28:14.279677,Oceania,Computer,0.5068871237742423
141,54,M,Standard,32,18.499786872881902,9,0,0,0,1,0,12,1,2.137278747913166,0.2646948964361501,2022-12-23 18:28:14.279677,Asia,TV,0.27682963028368923
142,64,F,Standard,53,15.357715761174429,4,1,0,0,0,4,27,1,3.8587669356590277,0.22191562271330256,2022-12-24 18:28:14.279677,Latin America,TV,0.5172515438669006
143,31,F,Basic,25,10.953177956325122,1,0,0,0,0,0,13,0,3.271354985357223,0.6740229466016328,2022-12-25 18:28:14.279677,Oceania,Tablet,0.36987015895488556
144,20,F,Premium,33,14.706552903837416,3,1,2,1,0,2,21,1,4.908155014465768,0.10442244615890817,2022-12-26 18:28:14.279677,Oceania,Mobile,0.5642026715950644
145,18,F,Basic,55,4.837380482362303,9,1,0,1,0,3,29,0,2.091290675520809,0.45406200472338076,2022-12-27 18:28:14.279677,Latin America,Mobile,0.5665582300505949
146,22,F,Premium,58,11.989635249734045,4,0,1,0,1,2,11,1,1.6334920821168009,0.49276042399909004,2022-12-28 18:28:14.279677,Asia,Computer,0.32376048570586047
147,43,M,Standard,7,19.04653174866555,5,0,1,1,0,3,19,1,1.2081513507782415,0.381336976915168,2022-12-29 18:28:14.279677,Oceania,TV,0.43915325111753617
148,31,M,Standard,52,8.90977052303813,7,0,0,0,0,4,11,0,1.963838649125122,0.18526817569773468,2022-12-30 18:28:14.279677,Europe,Computer,0.4206878962341537
149,56,M,Standard,57,5.761830356904576,5,1,0,0,0,0,26,0,3.7362835456615704,0.3553162643253547,2022-12-31 18:28:14.279677,North America,Computer,0.45812771229954874
150,44,F,Premium,12,6.739555557034697,4,1,2,2,0,1,5,0,1.3410328985474425,0.33755725356044997,2023-01-01 18:28:14.279677,North America,Computer,0.6609652253798163
151,26,F,Standard,16,4.551834813288059,2,0,0,1,1,1,26,1,1.9788073805986341,0.4992656746487504,2023-01-02 18:28:14.279677,North America,Mobile,0.4098330895052042
152,32,M,Standard,16,6.076190459361483,2,0,1,0,0,3,9,0,4.4212334727360485,0.6746808415785194,2023-01-03 18:28:14.279677,Asia,TV,0.41487938373810634
153,32,M,Basic,43,8.147459507049856,4,0,0,0,1,3,19,0,3.331811797458081,0.9682351235261706,2023-01-04 18:28:14.279677,Oceania,Computer,0.39513327933662057
154,43,F,Standard,53,2.9721649041067897,9,1,0,0,0,2,28,0,1.2780861610127818,0.14416326017432823,2023-01-05 18:28:14.279677,North America,TV,0.5589524506294811
155,59,M,Basic,36,10.078091669748016,8,0,0,0,0,1,23,0,1.190732576999053,0.8730171099410818,2023-01-06 18:28:14.279677,North America,TV,0.3822354524806117
156,30,F,Standard,13,14.511385868933235,3,0,0,0,0,2,8,1,1.2444915013030675,0.2841780003902624,2023-01-07 18:28:14.279677,Latin America,Computer,0.4136404029784638
157,68,F,Standard,7,5.461219099265398,9,0,0,0,1,4,1,1,4.76750020058901,0.5913727700014056,2023-01-08 18:28:14.279677,Oceania,Computer,0.3599208240515236
158,49,F,Standard,36,17.596419618208845,5,0,0,1,0,1,6,0,4.399485714244219,0.5467369479838681,2023-01-09 18:28:14.279677,Oceania,Tablet,0.2930520276509331
